2021-09-15T22:42:32+01:00
Running ./time
Run on (8 X 4200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 0.91, 1.26, 1.08
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"MapCreation/262144",5,1.85227e+08,1.8349e+08,ns,,,,,
"MapCreation/524288",2,4.93665e+08,4.88374e+08,ns,,,,,
"MapCreation/1048576",1,1.10606e+09,1.10109e+09,ns,,,,,
"MapCreation/2097152",1,2.82639e+09,2.82371e+09,ns,,,,,
"MapCreation/4194304",1,6.80772e+09,6.80741e+09,ns,,,,,
"MapCreation/8388608",1,1.59529e+10,1.58655e+10,ns,,,,,
"MapCreation/16777216",1,3.62539e+10,3.61647e+10,ns,,,,,
"MapCreation/33554432",1,8.43495e+10,8.40112e+10,ns,,,,,
"VectorCreation/262144",1,1.22982e+10,1.22663e+10,ns,,,,,
"VectorCreation/524288",8,8.08736e+07,8.02919e+07,ns,,,,,
"VectorCreation/1048576",4,1.69034e+08,1.67823e+08,ns,,,,,
"VectorCreation/2097152",2,3.8328e+08,3.81073e+08,ns,,,,,
"VectorCreation/4194304",1,8.67409e+08,8.65001e+08,ns,,,,,
"VectorCreation/8388608",1,1.8797e+09,1.87967e+09,ns,,,,,
"VectorCreation/16777216",1,4.09965e+09,4.09938e+09,ns,,,,,
"VectorCreation/33554432",1,9.02883e+09,8.98454e+09,ns,,,,,
"MapLookup/262144",29,2.44419e+07,2.44416e+07,ns,,,,,
"MapLookup/524288",11,5.99976e+07,5.99981e+07,ns,,,,,
"MapLookup/1048576",5,1.35258e+08,1.35251e+08,ns,,,,,
"MapLookup/2097152",2,2.99023e+08,2.99023e+08,ns,,,,,
"MapLookup/4194304",1,6.67588e+08,6.67568e+08,ns,,,,,
"MapLookup/8388608",1,1.35695e+09,1.3569e+09,ns,,,,,
"MapLookup/16777216",1,3.01541e+09,3.01532e+09,ns,,,,,
"MapLookup/33554432",1,6.98731e+09,6.98706e+09,ns,,,,,
"VectorLookup/262144",1035,682155,682240,ns,,,,,
"VectorLookup/524288",499,1.39095e+06,1.39131e+06,ns,,,,,
"VectorLookup/1048576",264,2.65701e+06,2.65735e+06,ns,,,,,
"VectorLookup/2097152",141,4.96818e+06,4.96763e+06,ns,,,,,
"VectorLookup/4194304",58,1.25508e+07,1.25505e+07,ns,,,,,
"VectorLookup/8388608",27,2.62e+07,2.61934e+07,ns,,,,,
"VectorLookup/16777216",14,5.05273e+07,5.05271e+07,ns,,,,,
"VectorLookup/33554432",5,1.45253e+08,1.45196e+08,ns,,,,,
"MapDelete/262144",29,2.43255e+07,2.43245e+07,ns,,,,,
"MapDelete/524288",12,6.00007e+07,6.00007e+07,ns,,,,,
"MapDelete/1048576",5,1.34246e+08,1.34237e+08,ns,,,,,
"MapDelete/2097152",2,2.93282e+08,2.93258e+08,ns,,,,,
"MapDelete/4194304",1,6.26697e+08,6.26564e+08,ns,,,,,
"MapDelete/8388608",1,1.34323e+09,1.34314e+09,ns,,,,,
"MapDelete/16777216",1,2.91248e+09,2.91241e+09,ns,,,,,
"MapDelete/33554432",1,6.74936e+09,6.74875e+09,ns,,,,,
"VectorDelete/262144",12,5.15551e+07,5.15836e+07,ns,,,,,
"VectorDelete/524288",6,1.14719e+08,1.14749e+08,ns,,,,,
"VectorDelete/1048576",3,2.43504e+08,2.43541e+08,ns,,,,,
"VectorDelete/2097152",2,5.01881e+08,5.0191e+08,ns,,,,,
"VectorDelete/4194304",1,9.76697e+08,9.76712e+08,ns,,,,,
"VectorDelete/8388608",1,1.69269e+09,1.69271e+09,ns,,,,,
"VectorDelete/16777216",1,3.85783e+09,3.85782e+09,ns,,,,,
"VectorDelete/33554432",1,8.2109e+09,8.21077e+09,ns,,,,,
"VectorMultiDelete/262144",17,4.10198e+07,4.10178e+07,ns,,,,,
"VectorMultiDelete/524288",7,9.69671e+07,9.69581e+07,ns,,,,,
"VectorMultiDelete/1048576",3,2.17213e+08,2.17207e+08,ns,,,,,
"VectorMultiDelete/2097152",2,4.5862e+08,4.58599e+08,ns,,,,,
"VectorMultiDelete/4194304",1,9.67602e+08,9.67564e+08,ns,,,,,
"VectorMultiDelete/8388608",1,2.01423e+09,2.01419e+09,ns,,,,,
"VectorMultiDelete/16777216",1,4.21899e+09,4.21891e+09,ns,,,,,
"VectorMultiDelete/33554432",1,9.12078e+09,9.12057e+09,ns,,,,,
"VectorMultiDeleteMagic/262144",22,3.22438e+07,3.2243e+07,ns,,,,,
"VectorMultiDeleteMagic/524288",10,7.24334e+07,7.24238e+07,ns,,,,,
"VectorMultiDeleteMagic/1048576",5,1.50533e+08,1.50532e+08,ns,,,,,
"VectorMultiDeleteMagic/2097152",2,3.1277e+08,3.12762e+08,ns,,,,,
"VectorMultiDeleteMagic/4194304",1,6.72639e+08,6.72631e+08,ns,,,,,
"VectorMultiDeleteMagic/8388608",1,1.32344e+09,1.32341e+09,ns,,,,,
"VectorMultiDeleteMagic/16777216",1,2.74325e+09,2.74318e+09,ns,,,,,
"VectorMultiDeleteMagic/33554432",1,5.81534e+09,5.81526e+09,ns,,,,,
